Claim,label
The sun is a star at the center of the Solar System.,Fact
All new smartphones should have a battery life of at least three days.,Opinion
The media is consistently trying to manipulate the public with false narratives.,Bias
Water boils at 100∘C at standard atmospheric pressure.,Fact
Romantic comedies are the most poorly written genre of film.,Opinion
The national debt is a direct result of reckless spending by the opposing political party.,Bias
The Earth orbits the Sun.,Fact
Vanilla is an inherently superior flavor to chocolate in any dessert.,Opinion
The only way to solve the city's traffic problem is to eliminate all bicycle lanes.,Bias
The capital city of France is Paris.,Fact
Blue is the most calming color for interior design.,Opinion
Teachers are underpaid because the government prioritizes defense spending over education.,Bias
Humans have five main sensory organs.,Fact
Hiking in the mountains is a much better form of exercise than swimming.,Opinion
"The CEO's recent actions, which were clearly driven by corporate greed, will ruin the company.",Bias
"The speed of light in a vacuum is approximately 299,792,458 m/s.",Fact
"It is always better to live in a large, bustling city than a quiet, rural town.",Opinion
"If you oppose this policy, you must hate economic growth and stability.",Bias
The Great Wall of China is visible from space.,Fact
Pineapple is a surprisingly delicious topping on pizza.,Opinion
Any rational person would agree that the current tax system is fundamentally unfair.,Bias
Oxygen is the third most abundant element in the universe by mass.,Fact
Reading a physical book offers a more satisfying experience than reading on an e-reader.,Opinion
They only reported that story to distract the public from the real scandal that matters.,Bias
A square is a quadrilateral with four equal sides and four right angles.,Fact
That artist's newest album is a masterpiece that defines the current generation's music.,Opinion
The company's profits are low because its employees are lazy and unmotivated.,Bias
George Washington was the first president of the United States.,Fact
All government officials are corrupt and only look out for their own interests.,Bias
Working from home is significantly less productive than working in an office.,Opinion
Claim,Label
The Amazon River is the second-longest river in the world.,Fact
All mandatory public health measures infringe upon personal freedom.,Bias
The best way to learn a new language is through total immersion.,Opinion
The process of photosynthesis converts light energy into chemical energy.,Fact
That controversial policy was obviously an underhanded plot by lobbyists.,Bias
Dogs are clearly much smarter and more loyal than cats.,Opinion
The human heart has four chambers.,Fact
Anyone who buys an electric car is wasting their money on unproven technology.,Bias
Summer is the most enjoyable season of the year.,Opinion
Water has a molecular formula of H2​O.,Fact
They only reported the stock market's rise to benefit their wealthy friends.,Bias
Classical music is inherently superior to modern pop music.,Opinion
Mammals are warm-blooded vertebrates.,Fact
"The new budget cuts, which are completely irrational, will destroy our local services.",Bias
The design of the original Apple iPhone was revolutionary.,Opinion
The Declaration of Independence was signed in 1776.,Fact
The only reason the CEO resigned was to avoid facing public scrutiny.,Bias
A four-day work week would lead to widespread economic chaos.,Opinion
"The planet Mars is often called the ""Red Planet.""",Fact
The biased media is trying to cover up the true extent of the scandal.,Bias
Horror movies are generally more engaging than romantic comedies.,Opinion
An equilateral triangle has three equal sides.,Fact
We must reject the opposition's dangerous and irresponsible proposals entirely.,Bias
It is more important for a city to invest in public transit than highways.,Opinion
Neil Armstrong was the first person to walk on the Moon.,Fact
The company's profits are low due to lazy and entitled young workers.,Bias
Working from home is much less distracting than working in an office.,Opinion
Aluminum is a chemical element with the symbol Al.,Fact
The national monument is a beautiful piece of architecture.,Opinion
Only people with bad intentions would support the proposed zoning law.,Bias
The capital of Canada is Ottawa.,Fact
Reading fiction offers a deeper intellectual reward than reading non-fiction.,Opinion
The politician's speech was clearly just a string of empty promises.,Bias
Gravity is a natural phenomenon by which all things with mass are brought toward one another.,Fact
A dark roast coffee provides a much richer flavor than a light roast.,Opinion
"If you vote for that candidate, you are actively choosing to ruin the country.",Bias
The year 2024 is a leap year.,Fact
Exercise is a necessary but tedious chore for maintaining health.,Opinion
They failed the audit because they were clearly hiding something illegal.,Bias
The Mona Lisa was painted by Leonardo da Vinci.,Fact
Everyone should donate at least 10% of their income to charity.,Opinion
The government's actions are nothing more than a fascist power grab.,Bias
Mount Everest is the highest mountain above sea level.,Fact
It is better to save money than to spend it on experiences.,Opinion
The entire scientific community is wrong about climate change.,Bias
"The boiling point of gold is 2,856∘C.",Fact
The color yellow evokes feelings of happiness and energy.,Opinion
This tax cut is a socialist plot designed to destroy the free market.,Bias
The smallest planet in our solar system is Mercury.,Fact
Modern art is often confusing and lacks true artistic merit.,Opinion
All economic problems are caused by immigrants taking jobs.,Bias
The Earth's atmosphere is composed primarily of nitrogen and oxygen.,Fact
That sports team is the most exciting and talented in the league this season.,Opinion
The jury's verdict was an outrage and an obvious political statement.,Bias
"A kilometer is equal to 1,000 meters.",Fact
The novel's ending was predictable and disappointing.,Opinion
Only misguided idealists believe that foreign aid actually works.,Bias
The chemical symbol for iron is Fe.,Fact
Sushi is the most overrated food trend of the past decade.,Opinion
The only solution to gun violence is the total ban of all firearms.,Bias
The human body has 206 bones in the adult skeleton.,Fact
All video games should focus more on storytelling than graphics.,Opinion
The protesters are merely paid agitators trying to sow discord.,Bias
Photosynthesis occurs in the chloroplasts of plant cells.,Fact
The school's new uniforms are aesthetically pleasing and appropriate.,Opinion
Environmentalists are fear-mongering and exaggerating the dangers of pollution.,Bias
The primary function of the kidneys is to filter blood.,Fact
Traveling by train is a superior and more relaxing experience than flying.,Opinion
This new legislation is nothing more than a blatant attack on the middle class.,Bias
"Vivaldi's ""The Four Seasons"" is a famous set of four violin concertos.",Fact
Artificial intelligence will eventually render most human jobs obsolete.,Opinion
The entire board of directors is complicit in the cover-up.,Bias
Germany was reunified in 1990.,Fact
Reading novels is a more valuable use of leisure time than watching television.,Opinion
The opposing party's platform is clearly derived from communist ideology.,Bias
The sum of the angles in a plane triangle is 180∘.,Fact
The city needs to install more traffic lights at busy intersections.,Opinion
The recent price increase is a clear example of corporate price-gouging.,Bias
Oxygen gas (O2​) is colorless and odorless.,Fact
The greatest innovation of the last century was the invention of the internet.,Opinion
The media refuses to report on the truth about the election.,Bias
The largest ocean on Earth is the Pacific Ocean.,Fact
Dogs are the best companions for senior citizens.,Opinion
Anyone who supports stricter environmental regulations is anti-business.,Bias
The standard acceleration due to gravity on Earth is about 9.8 m/s2.,Fact
The current political climate is the worst it has been in decades.,Opinion
The investigation was rigged from the start to protect the powerful.,Bias
Mount Kilimanjaro is the highest mountain in Africa.,Fact
Spicy food is generally more exciting and enjoyable than mild food.,Opinion
The only reason for the high cost of housing is foreign investment.,Bias
A decade consists of ten years.,Fact
It is better to write with a pen and paper than to type on a computer.,Opinion
